training_state,tls_id,action,tl_durations,reward,max_previous_local,max_new_local,neighbors,max_previous_neighbors,max_new_neighbors
730,JM0,"('increase_red', 'JM0')","[59.0, 3.0, 42.0]",2,0.8526764566556135,0.8526764566556135,['JM1'],[0.7818681062968307],[0.7818681062968307]
730,JM1,"('increase_red', 'JM1')","[67.0, 3.0, 37.0]",4,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.8526764566556135, 0.6671267540832758]","[0.8526764566556135, 0.644122383252818]"
730,JM2,"('decrease_red', 'JM2')","[75.0, 3.0, 32.0]",5,0.644122383252818,0.644122383252818,"['JM1', 'J3']","[0.7818681062968307, 0.1654585565710684]","[0.7818681062968307, 0.11818468326504886]"
731,J3,"('decrease_green', 'J3')","[68.0, 3.0, 20.0]",3,0.14182161991805864,0.14182161991805864,['JM2'],[0.6211180124223603],[0.5981136415919025]
731,JM0,"('increase_green', 'JM0')","[59.0, 3.0, 43.0]",2,0.8526764566556135,0.8526764566556135,['JM1'],[0.7818681062968307],[0.7818681062968307]
731,JM1,"('no_change', 'JM1')","[67.0, 3.0, 38.0]",4,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.8526764566556135, 0.5981136415919025]","[0.8526764566556135, 0.5751092707614447]"
731,JM2,"('decrease_green', 'JM2')","[75.0, 3.0, 31.0]",3,0.5751092707614447,0.5751092707614447,"['JM1', 'J3']","[0.7818681062968307, 0.14182161991805864]","[0.7818681062968307, 0.14182161991805864]"
732,J3,"('decrease_red', 'J3')","[67.0, 3.0, 20.0]",2,0.14182161991805864,0.14182161991805864,['JM2'],[0.5521048999309869],[0.5521048999309869]
732,JM0,"('decrease_green', 'JM0')","[60.0, 3.0, 43.0]",2,0.8526764566556135,0.8526764566556135,['JM1'],[0.7818681062968307],[0.7818681062968307]
732,JM1,"('decrease_red', 'JM1')","[67.0, 3.0, 38.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.8526764566556135, 0.5291005291005291]","[0.8526764566556135, 0.5291005291005291]"
732,JM2,"('increase_red', 'JM2')","[74.0, 3.0, 31.0]",1,0.5291005291005291,0.5060961582700714,"['JM1', 'J3']","[0.7818681062968307, 0.1654585565710684]","[0.7818681062968307, 0.18909549322407818]"
733,J3,"('decrease_green', 'J3')","[67.0, 3.0, 19.0]",0,0.18909549322407818,0.21273242987708793,['JM2'],[0.5060961582700714],[0.48309178743961356]
733,JM0,"('no_change', 'JM0')","[59.0, 3.0, 43.0]",2,0.8526764566556135,0.8526764566556135,['JM1'],[0.7818681062968307],[0.7818681062968307]
733,JM1,"('increase_red', 'JM1')","[67.0, 3.0, 37.0]",4,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.8526764566556135, 0.48309178743961356]","[0.8526764566556135, 0.46008741660915575]"
733,JM2,"('increase_red', 'JM2')","[74.0, 3.0, 32.0]",4,0.46008741660915575,0.46008741660915575,"['JM1', 'J3']","[0.7818681062968307, 0.21273242987708793]","[0.7818681062968307, 0.18909549322407818]"
